row,Peak.Nr,Identifier1,Identifier2,type,Analysis,rArea44,Area44,d13Craw,d18Oraw,Date,Time,mass
5,5,HIS,,lin.std,5147,2569,2.569,-1.767,79.121,6/28/17,,47
5,6,HIS,,lin.std,5147,12461,12.461,-4.844,18.788,6/28/17,,47
5,7,HIS,,lin.std,5147,12081,12.081,-4.702,18.746,6/28/17,,47
5,8,HIS,,lin.std,5147,11649,11.649,-4.644,18.598,6/28/17,,47
5,9,HIS,,lin.std,5147,11211,11.211,-4.651,18.753,6/28/17,,47
5,10,HIS,,lin.std,5147,10767,10.767,-4.61,18.673,6/28/17,,47
5,11,HIS,,lin.std,5147,10347,10.347,-4.57,18.636,6/28/17,,47
5,12,HIS,,lin.std,5147,9960,9.96,-4.614,18.657,6/28/17,,47
5,13,HIS,,lin.std,5147,9553,9.553,-4.531,18.711,6/28/17,,47
5,14,HIS,,lin.std,5147,9179,9.179,-4.553,18.539,6/28/17,,47
5,15,HIS,,lin.std,5147,8812,8.812,-4.502,18.604,6/28/17,,47
6,1,HIS,,lin.std,5148,96517,96.517,-11.129,34.232,6/28/17,,58
6,2,HIS,,lin.std,5148,97488,97.488,-11.156,34.192,6/28/17,,58
6,3,HIS,,lin.std,5148,97461,97.461,-11.165,34.181,6/28/17,,58
6,4,HIS,,lin.std,5148,97431,97.431,-11.175,34.156,6/28/17,,58
6,5,HIS,,lin.std,5148,4422,4.422,0.56,176.013,6/28/17,,58
6,6,HIS,,lin.std,5148,18085,18.085,-4.679,19.142,6/28/17,,58
6,7,HIS,,lin.std,5148,17513,17.513,-4.786,19.06,6/28/17,,58
6,8,HIS,,lin.std,5148,16901,16.901,-4.611,19.163,6/28/17,,58
6,9,HIS,,lin.std,5148,16254,16.254,-4.648,19.167,6/28/17,,58
6,10,HIS,,lin.std,5148,15638,15.638,-4.611,19.152,6/28/17,,58
6,11,HIS,,lin.std,5148,15059,15.059,-4.623,19.123,6/28/17,,58
6,12,HIS,,lin.std,5148,14489,14.489,-4.594,19.143,6/28/17,,58
6,13,HIS,,lin.std,5148,13942,13.942,-4.608,19.092,6/28/17,,58
6,14,HIS,,lin.std,5148,13403,13.403,-4.661,19.121,6/28/17,,58
6,15,HIS,,lin.std,5148,12905,12.905,-4.625,19.043,6/28/17,,58
7,1,HIS,,lin.std,5149,97084,97.084,-11.15,34.218,6/28/17,,73
7,2,HIS,,lin.std,5149,97557,97.557,-11.156,34.192,6/28/17,,73
7,3,HIS,,lin.std,5149,97002,97.002,-11.166,34.17,6/28/17,,73
7,4,HIS,,lin.std,5149,97152,97.152,-11.169,34.167,6/28/17,,73
7,5,HIS,,lin.std,5149,4495,4.495,-2.375,77.418,6/28/17,,73
7,6,HIS,,lin.std,5149,21944,21.944,-4.524,19.89,6/28/17,,73
7,7,HIS,,lin.std,5149,21253,21.253,-4.541,19.811,6/28/17,,73
7,8,HIS,,lin.std,5149,20470,20.47,-4.511,19.995,6/28/17,,73
7,9,HIS,,lin.std,5149,19697,19.697,-4.597,19.659,6/28/17,,73
7,10,HIS,,lin.std,5149,18955,18.955,-4.622,19.677,6/28/17,,73
7,11,HIS,,lin.std,5149,18229,18.229,-4.64,19.635,6/28/17,,73
7,12,HIS,,lin.std,5149,17564,17.564,-4.642,19.709,6/28/17,,73
7,13,HIS,,lin.std,5149,16856,16.856,-4.673,19.677,6/28/17,,73
7,14,HIS,,lin.std,5149,16234,16.234,-4.671,19.646,6/28/17,,73
7,15,HIS,,lin.std,5149,15589,15.589,-4.648,19.779,6/28/17,,73
8,1,HIS,,lin.std,5150,96508,96.508,-11.17,34.239,6/28/17,,81
8,2,HIS,,lin.std,5150,96892,96.892,-11.156,34.192,6/28/17,,81
8,3,HIS,,lin.std,5150,96817,96.817,-11.155,34.188,6/28/17,,81
8,4,HIS,,lin.std,5150,96984,96.984,-11.154,34.193,6/28/17,,81
8,5,HIS,,lin.std,5150,3730,3.73,-0.866,137.359,6/28/17,,81
8,6,HIS,,lin.std,5150,16874,16.874,-4.815,21.098,6/28/17,,81
8,7,HIS,,lin.std,5150,16361,16.361,-4.878,20.976,6/28/17,,81
8,8,HIS,,lin.std,5150,15819,15.819,-4.971,20.983,6/28/17,,81
8,9,HIS,,lin.std,5150,15223,15.223,-4.863,20.901,6/28/17,,81
8,10,HIS,,lin.std,5150,14666,14.666,-4.771,20.96,6/28/17,,81
8,11,HIS,,lin.std,5150,14084,14.084,-4.811,20.91,6/28/17,,81
8,12,HIS,,lin.std,5150,13554,13.554,-4.768,20.97,6/28/17,,81
8,13,HIS,,lin.std,5150,13020,13.02,-4.778,20.859,6/28/17,,81
8,14,HIS,,lin.std,5150,12510,12.51,-4.779,20.948,6/28/17,,81
8,15,HIS,,lin.std,5150,12013,12.013,-4.749,21.113,6/28/17,,81
9,1,HIS,,lin.std,5151,96402,96.402,-11.114,34.217,6/28/17,,96
9,2,HIS,,lin.std,5151,96625,96.625,-11.156,34.192,6/28/17,,96
9,3,HIS,,lin.std,5151,96548,96.548,-11.158,34.132,6/28/17,,96
9,4,HIS,,lin.std,5151,96916,96.916,-11.171,34.102,6/28/17,,96
9,5,HIS,,lin.std,5151,6367,6.367,-4.342,25.01,6/28/17,,96
9,6,HIS,,lin.std,5151,28691,28.691,-4.632,20.355,6/28/17,,96
9,7,HIS,,lin.std,5151,27716,27.716,-4.668,20.369,6/28/17,,96
9,8,HIS,,lin.std,5151,26723,26.723,-4.646,20.393,6/28/17,,96
9,9,HIS,,lin.std,5151,25703,25.703,-4.707,20.309,6/28/17,,96
9,10,HIS,,lin.std,5151,24693,24.693,-4.66,20.381,6/28/17,,96
9,11,HIS,,lin.std,5151,23736,23.736,-4.626,20.309,6/28/17,,96
9,12,HIS,,lin.std,5151,22805,22.805,-4.649,20.337,6/28/17,,96
9,13,HIS,,lin.std,5151,21931,21.931,-4.598,20.398,6/28/17,,96
9,14,HIS,,lin.std,5151,21074,21.074,-4.567,20.389,6/28/17,,96
9,15,HIS,,lin.std,5151,20227,20.227,-4.53,20.397,6/28/17,,96
10,1,HIS,,lin.std,5152,96605,96.605,-11.19,34.211,6/28/17,,105
10,2,HIS,,lin.std,5152,96668,96.668,-11.156,34.192,6/28/17,,105
10,3,HIS,,lin.std,5152,96816,96.816,-11.193,34.175,6/28/17,,105
10,4,HIS,,lin.std,5152,96749,96.749,-11.194,34.17,6/28/17,,105
10,5,HIS,,lin.std,5152,5134,5.134,-4.212,26.662,6/28/17,,105
10,6,HIS,,lin.std,5152,24623,24.623,-4.638,20.828,6/28/17,,105
10,7,HIS,,lin.std,5152,23834,23.834,-4.612,20.993,6/28/17,,105
10,8,HIS,,lin.std,5152,22947,22.947,-4.642,20.843,6/28/17,,105
10,9,HIS,,lin.std,5152,22051,22.051,-4.771,20.865,6/28/17,,105
10,10,HIS,,lin.std,5152,21209,21.209,-4.591,20.86,6/28/17,,105
10,11,HIS,,lin.std,5152,20402,20.402,-4.638,20.821,6/28/17,,105
10,12,HIS,,lin.std,5152,19567,19.567,-4.613,20.866,6/28/17,,105
10,13,HIS,,lin.std,5152,18792,18.792,-4.535,20.842,6/28/17,,105
10,14,HIS,,lin.std,5152,18064,18.064,-4.717,20.803,6/28/17,,105
10,15,HIS,,lin.std,5152,17390,17.39,-4.613,20.841,6/28/17,,105
11,1,HIS,,lin.std,5153,96381,96.381,-11.132,34.219,6/28/17,,123
11,2,HIS,,lin.std,5153,96470,96.47,-11.156,34.192,6/28/17,,123
11,3,HIS,,lin.std,5153,96505,96.505,-11.153,34.182,6/28/17,,123
11,4,HIS,,lin.std,5153,96514,96.514,-11.144,34.169,6/28/17,,123
11,5,HIS,,lin.std,5153,7880,7.88,-4.438,21.834,6/28/17,,123
11,6,HIS,,lin.std,5153,37726,37.726,-4.64,20.259,6/28/17,,123
11,7,HIS,,lin.std,5153,36528,36.528,-4.627,20.309,6/28/17,,123
11,8,HIS,,lin.std,5153,35199,35.199,-4.615,20.244,6/28/17,,123
11,9,HIS,,lin.std,5153,33813,33.813,-4.567,20.39,6/28/17,,123
11,10,HIS,,lin.std,5153,32489,32.489,-4.568,20.365,6/28/17,,123
11,11,HIS,,lin.std,5153,31235,31.235,-4.589,20.26,6/28/17,,123
11,12,HIS,,lin.std,5153,30015,30.015,-4.67,20.262,6/28/17,,123
11,13,HIS,,lin.std,5153,28854,28.854,-4.628,20.191,6/28/17,,123
11,14,HIS,,lin.std,5153,27711,27.711,-4.6,20.293,6/28/17,,123
11,15,HIS,,lin.std,5153,26659,26.659,-4.619,20.224,6/28/17,,123
12,1,HIS,,lin.std,5154,96180,96.18,-11.145,34.207,6/28/17,,151
12,2,HIS,,lin.std,5154,96402,96.402,-11.156,34.192,6/28/17,,151
12,3,HIS,,lin.std,5154,96273,96.273,-11.165,34.236,6/28/17,,151
12,4,HIS,,lin.std,5154,96323,96.323,-11.174,34.208,6/28/17,,151
12,5,HIS,,lin.std,5154,10377,10.377,-4.501,21.218,6/28/17,,151
12,6,HIS,,lin.std,5154,48216,48.216,-4.688,20.49,6/28/17,,151
12,7,HIS,,lin.std,5154,46412,46.412,-4.592,20.56,6/28/17,,151
12,8,HIS,,lin.std,5154,44681,44.681,-4.699,20.512,6/28/17,,151
12,9,HIS,,lin.std,5154,42964,42.964,-4.675,20.445,6/28/17,,151
12,10,HIS,,lin.std,5154,41257,41.257,-4.673,20.466,6/28/17,,151
12,11,HIS,,lin.std,5154,39680,39.68,-4.602,20.484,6/28/17,,151
12,12,HIS,,lin.std,5154,38178,38.178,-4.546,20.457,6/28/17,,151
12,13,HIS,,lin.std,5154,36638,36.638,-4.653,20.359,6/28/17,,151
12,14,HIS,,lin.std,5154,35211,35.211,-4.621,20.432,6/28/17,,151
12,15,HIS,,lin.std,5154,33833,33.833,-4.602,20.413,6/28/17,,151
13,1,HIS,,lin.std,5155,95975,95.975,-11.126,34.229,6/28/17,,168
13,2,HIS,,lin.std,5155,96217,96.217,-11.156,34.192,6/28/17,,168
13,3,HIS,,lin.std,5155,96494,96.494,-11.183,34.136,6/28/17,,168
13,4,HIS,,lin.std,5155,96322,96.322,-11.207,34.146,6/28/17,,168
13,5,HIS,,lin.std,5155,10266,10.266,-4.535,21.146,6/28/17,,168
13,6,HIS,,lin.std,5155,50317,50.317,-4.588,20.555,6/28/17,,168
13,7,HIS,,lin.std,5155,48599,48.599,-4.603,20.57,6/28/17,,168
13,8,HIS,,lin.std,5155,46912,46.912,-4.57,20.568,6/28/17,,168
13,9,HIS,,lin.std,5155,45030,45.03,-4.594,20.486,6/28/17,,168
13,10,HIS,,lin.std,5155,43249,43.249,-4.609,20.55,6/28/17,,168
13,11,HIS,,lin.std,5155,41552,41.552,-4.575,20.522,6/28/17,,168
13,12,HIS,,lin.std,5155,39955,39.955,-4.607,20.496,6/28/17,,168
13,13,HIS,,lin.std,5155,38368,38.368,-4.561,20.484,6/28/17,,168
13,14,HIS,,lin.std,5155,36805,36.805,-4.562,20.513,6/28/17,,168
13,15,HIS,,lin.std,5155,35348,35.348,-4.55,20.524,6/28/17,,168
14,1,HIS,,drift.std,5156,95966,95.966,-11.127,34.199,6/28/17,,90
14,2,HIS,,drift.std,5156,96355,96.355,-11.156,34.192,6/28/17,,90
14,3,HIS,,drift.std,5156,96326,96.326,-11.162,34.165,6/28/17,,90
14,4,HIS,,drift.std,5156,96468,96.468,-11.198,34.145,6/28/17,,90
14,5,HIS,,drift.std,5156,8088,8.088,-4.27,22.237,6/28/17,,90
14,6,HIS,,drift.std,5156,39225,39.225,-4.377,21.176,6/28/17,,90
14,7,HIS,,drift.std,5156,37977,37.977,-4.377,21.173,6/28/17,,90
14,8,HIS,,drift.std,5156,36571,36.571,-4.371,21.189,6/28/17,,90
14,9,HIS,,drift.std,5156,35140,35.14,-4.386,21.198,6/28/17,,90
14,10,HIS,,drift.std,5156,33791,33.791,-4.368,21.197,6/28/17,,90
14,11,HIS,,drift.std,5156,32422,32.422,-4.329,21.209,6/28/17,,90
14,12,HIS,,drift.std,5156,31169,31.169,-4.325,21.253,6/28/17,,90
14,13,HIS,,drift.std,5156,29945,29.945,-4.338,21.196,6/28/17,,90
14,14,HIS,,drift.std,5156,28744,28.744,-4.339,21.281,6/28/17,,90
14,15,HIS,,drift.std,5156,27615,27.615,-4.337,21.225,6/28/17,,90
15,1,CU YULE,,mon.std,5157,95862,95.862,-11.129,34.206,6/28/17,,95
15,2,CU YULE,,mon.std,5157,96279,96.279,-11.156,34.192,6/28/17,,95
15,3,CU YULE,,mon.std,5157,96111,96.111,-11.156,34.21,6/28/17,,95
15,4,CU YULE,,mon.std,5157,96318,96.318,-11.159,34.18,6/28/17,,95
15,5,CU YULE,,mon.std,5157,5025,5.025,-2.663,34.816,6/28/17,,95
15,6,CU YULE,,mon.std,5157,23281,23.281,-2.933,33.278,6/28/17,,95
15,7,CU YULE,,mon.std,5157,22503,22.503,-2.877,33.286,6/28/17,,95
15,8,CU YULE,,mon.std,5157,21719,21.719,-2.934,33.305,6/28/17,,95
15,9,CU YULE,,mon.std,5157,20843,20.843,-2.821,33.393,6/28/17,,95
15,10,CU YULE,,mon.std,5157,20029,20.029,-2.851,33.277,6/28/17,,95
15,11,CU YULE,,mon.std,5157,19231,19.231,-2.867,33.378,6/28/17,,95
15,12,CU YULE,,mon.std,5157,18453,18.453,-2.821,33.331,6/28/17,,95
15,13,CU YULE,,mon.std,5157,17741,17.741,-2.827,33.342,6/28/17,,95
15,14,CU YULE,,mon.std,5157,17070,17.07,-2.913,33.406,6/28/17,,95
15,15,CU YULE,,mon.std,5157,16401,16.401,-2.894,33.41,6/28/17,,95
16,1,NBS18,,dis.std,5158,95959,95.959,-11.161,34.227,6/28/17,,93
16,2,NBS18,,dis.std,5158,95970,95.97,-11.156,34.192,6/28/17,,93
16,3,NBS18,,dis.std,5158,96102,96.102,-11.191,34.195,6/28/17,,93
16,4,NBS18,,dis.std,5158,96256,96.256,-11.167,34.2,6/28/17,,93
16,5,NBS18,,dis.std,5158,5103,5.103,-4.45,16.472,6/28/17,,93
16,6,NBS18,,dis.std,5158,23698,23.698,-4.659,15.747,6/28/17,,93
16,7,NBS18,,dis.std,5158,22903,22.903,-4.676,15.724,6/28/17,,93
16,8,NBS18,,dis.std,5158,22065,22.065,-4.636,15.815,6/28/17,,93
16,9,NBS18,,dis.std,5158,21214,21.214,-4.703,15.815,6/28/17,,93
16,10,NBS18,,dis.std,5158,20387,20.387,-4.685,15.78,6/28/17,,93
16,11,NBS18,,dis.std,5158,19571,19.571,-4.625,15.791,6/28/17,,93
16,12,NBS18,,dis.std,5158,18815,18.815,-4.679,15.747,6/28/17,,93
16,13,NBS18,,dis.std,5158,18075,18.075,-4.64,15.806,6/28/17,,93
16,14,NBS18,,dis.std,5158,17397,17.397,-4.593,15.786,6/28/17,,93
16,15,NBS18,,dis.std,5158,16706,16.706,-4.67,15.71,6/28/17,,93
17,1,MB140527.CT2.SPT.65cm.CN,,sample,5159,94575,94.575,-11.064,34.209,6/28/17,,4045
17,2,MB140527.CT2.SPT.65cm.CN,,sample,5159,94916,94.916,-11.156,34.192,6/28/17,,4045
17,3,MB140527.CT2.SPT.65cm.CN,,sample,5159,95050,95.05,-11.195,34.182,6/28/17,,4045
17,4,MB140527.CT2.SPT.65cm.CN,,sample,5159,95373,95.373,-11.218,34.15,6/28/17,,4045
17,5,MB140527.CT2.SPT.65cm.CN,,sample,5159,19240,19.24,-1.729,33.784,6/28/17,,4045
,,,,,,,,,,,,
17,7,MB140527.CT2.SPT.65cm.CN,,sample,5159,14679,14.679,-1.84,32.957,6/28/17,,4045
17,8,MB140527.CT2.SPT.65cm.CN,,sample,5159,14111,14.111,-1.709,32.95,6/28/17,,4045
17,9,MB140527.CT2.SPT.65cm.CN,,sample,5159,13571,13.571,-1.711,33.002,6/28/17,,4045
17,10,MB140527.CT2.SPT.65cm.CN,,sample,5159,13028,13.028,-1.693,33.035,6/28/17,,4045
17,11,MB140527.CT2.SPT.65cm.CN,,sample,5159,12485,12.485,-1.614,32.943,6/28/17,,4045
17,12,MB140527.CT2.SPT.65cm.CN,,sample,5159,11984,11.984,-1.647,33.034,6/28/17,,4045
17,13,MB140527.CT2.SPT.65cm.CN,,sample,5159,11505,11.505,-1.526,32.9,6/28/17,,4045
17,14,MB140527.CT2.SPT.65cm.CN,,sample,5159,11030,11.03,-1.558,32.901,6/28/17,,4045
17,15,MB140527.CT2.SPT.65cm.CN,,sample,5159,10591,10.591,-1.633,32.954,6/28/17,,4045
18,1,MB140527.RRT.SPT.50.03.CN,,sample,5160,95175,95.175,-11.12,34.181,6/28/17,,835
18,2,MB140527.RRT.SPT.50.03.CN,,sample,5160,95521,95.521,-11.156,34.192,6/28/17,,835
18,3,MB140527.RRT.SPT.50.03.CN,,sample,5160,95360,95.36,-11.187,34.135,6/28/17,,835
18,4,MB140527.RRT.SPT.50.03.CN,,sample,5160,95577,95.577,-11.194,34.141,6/28/17,,835
18,5,MB140527.RRT.SPT.50.03.CN,,sample,5160,11713,11.713,-1.918,34.769,6/28/17,,835
18,6,MB140527.RRT.SPT.50.03.CN,,sample,5160,53164,53.164,-2.034,34.44,6/28/17,,835
18,7,MB140527.RRT.SPT.50.03.CN,,sample,5160,51378,51.378,-2.065,34.457,6/28/17,,835
18,8,MB140527.RRT.SPT.50.03.CN,,sample,5160,49491,49.491,-2.063,34.451,6/28/17,,835
18,9,MB140527.RRT.SPT.50.03.CN,,sample,5160,47496,47.496,-2.07,34.472,6/28/17,,835
18,10,MB140527.RRT.SPT.50.03.CN,,sample,5160,45558,45.558,-2.081,34.52,6/28/17,,835
18,11,MB140527.RRT.SPT.50.03.CN,,sample,5160,43792,43.792,-2.06,34.42,6/28/17,,835
18,12,MB140527.RRT.SPT.50.03.CN,,sample,5160,42051,42.051,-2.049,34.463,6/28/17,,835
18,13,MB140527.RRT.SPT.50.03.CN,,sample,5160,40361,40.361,-2.03,34.454,6/28/17,,835
18,14,MB140527.RRT.SPT.50.03.CN,,sample,5160,38796,38.796,-2.048,34.45,6/28/17,,835
18,15,MB140527.RRT.SPT.50.03.CN,,sample,5160,37303,37.303,-2.04,34.445,6/28/17,,835
19,1,MB140527.RRT.SPT.100cm.CN,,sample,5161,95247,95.247,-11.16,34.201,6/28/17,,261
19,2,MB140527.RRT.SPT.100cm.CN,,sample,5161,95634,95.634,-11.156,34.192,6/28/17,,261
19,3,MB140527.RRT.SPT.100cm.CN,,sample,5161,95599,95.599,-11.173,34.209,6/28/17,,261
19,4,MB140527.RRT.SPT.100cm.CN,,sample,5161,95497,95.497,-11.189,34.199,6/28/17,,261
19,5,MB140527.RRT.SPT.100cm.CN,,sample,5161,7302,7.302,-2.637,36.31,6/28/17,,261
19,6,MB140527.RRT.SPT.100cm.CN,,sample,5161,29244,29.244,-2.88,34.106,6/28/17,,261
19,7,MB140527.RRT.SPT.100cm.CN,,sample,5161,28304,28.304,-2.944,34.122,6/28/17,,261
19,8,MB140527.RRT.SPT.100cm.CN,,sample,5161,27282,27.282,-2.893,34.083,6/28/17,,261
19,9,MB140527.RRT.SPT.100cm.CN,,sample,5161,26197,26.197,-2.893,33.992,6/28/17,,261
19,10,MB140527.RRT.SPT.100cm.CN,,sample,5161,25200,25.2,-2.937,34.092,6/28/17,,261
19,11,MB140527.RRT.SPT.100cm.CN,,sample,5161,24212,24.212,-2.926,33.965,6/28/17,,261
19,12,MB140527.RRT.SPT.100cm.CN,,sample,5161,23306,23.306,-2.918,33.958,6/28/17,,261
19,13,MB140527.RRT.SPT.100cm.CN,,sample,5161,22372,22.372,-2.9,34.054,6/28/17,,261
19,14,MB140527.RRT.SPT.100cm.CN,,sample,5161,21490,21.49,-2.891,34.03,6/28/17,,261
19,15,MB140527.RRT.SPT.100cm.CN,,sample,5161,20635,20.635,-2.992,34.016,6/28/17,,261
20,1,MB140527.RRT.SPT.40.02.CN,,sample,5162,95103,95.103,-11.141,34.214,6/28/17,,2368
20,2,MB140527.RRT.SPT.40.02.CN,,sample,5162,95592,95.592,-11.156,34.192,6/28/17,,2368
20,3,MB140527.RRT.SPT.40.02.CN,,sample,5162,95617,95.617,-11.159,34.189,6/28/17,,2368
20,4,MB140527.RRT.SPT.40.02.CN,,sample,5162,95489,95.489,-11.187,34.13,6/28/17,,2368
20,5,MB140527.RRT.SPT.40.02.CN,,sample,5162,28382,28.382,-4.886,34.565,6/28/17,,2368
,,,,,,,,,,,,
20,7,MB140527.RRT.SPT.40.02.CN,,sample,5162,20843,20.843,-4.776,34.053,6/28/17,,2368
20,8,MB140527.RRT.SPT.40.02.CN,,sample,5162,20060,20.06,-4.684,34.069,6/28/17,,2368
20,9,MB140527.RRT.SPT.40.02.CN,,sample,5162,19279,19.279,-4.674,34.066,6/28/17,,2368
20,10,MB140527.RRT.SPT.40.02.CN,,sample,5162,18511,18.511,-4.7,34.055,6/28/17,,2368
20,11,MB140527.RRT.SPT.40.02.CN,,sample,5162,17754,17.754,-4.625,34.044,6/28/17,,2368
20,12,MB140527.RRT.SPT.40.02.CN,,sample,5162,17047,17.047,-4.63,34.067,6/28/17,,2368
20,13,MB140527.RRT.SPT.40.02.CN,,sample,5162,16360,16.36,-4.547,34.006,6/28/17,,2368
20,14,MB140527.RRT.SPT.40.02.CN,,sample,5162,15695,15.695,-4.586,34.009,6/28/17,,2368
20,15,MB140527.RRT.SPT.40.02.CN,,sample,5162,15065,15.065,-4.552,34.078,6/28/17,,2368
21,1,MB140527.CR.SPT.60cm.CN,,sample,5163,95245,95.245,-11.106,34.201,6/28/17,,261
21,2,MB140527.CR.SPT.60cm.CN,,sample,5163,95751,95.751,-11.156,34.192,6/28/17,,261
21,3,MB140527.CR.SPT.60cm.CN,,sample,5163,95656,95.656,-11.179,34.156,6/28/17,,261
21,4,MB140527.CR.SPT.60cm.CN,,sample,5163,95643,95.643,-11.209,34.143,6/28/17,,261
21,5,MB140527.CR.SPT.60cm.CN,,sample,5163,11337,11.337,-3.794,35.301,6/28/17,,261
21,6,MB140527.CR.SPT.60cm.CN,,sample,5163,52526,52.526,-4,32.125,6/28/17,,261
21,7,MB140527.CR.SPT.60cm.CN,,sample,5163,50811,50.811,-4.001,32.081,6/28/17,,261
21,8,MB140527.CR.SPT.60cm.CN,,sample,5163,48888,48.888,-4.009,32.088,6/28/17,,261
21,9,MB140527.CR.SPT.60cm.CN,,sample,5163,46913,46.913,-4.081,32.033,6/28/17,,261
